,fabricante,modelo,ano,combustivel,hp,cilindros,tipo_transmissao,tracao,num_portas,categoria,tamanho,estilo,km_por_l_estrada,km_por_l_cidade,popularidade,preco_venda,label
0,BMW,1 Series M,2011,gasolina premium,335.0,6.0,MANUAL,tracao_traseira,2.0,"Audio de Fabrica,Luxo,Alta-Performance",compacto,Cupê,26,19,3916,46135,BMW 1 Series M
1,BMW,1 Series,2011,gasolina premium,300.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Performance",compacto,Conversível,28,19,3916,40650,BMW 1 Series
2,BMW,1 Series,2011,gasolina premium,300.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Alta-Performance",compacto,Cupê,28,20,3916,36350,BMW 1 Series
3,BMW,1 Series,2011,gasolina premium,230.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Performance",compacto,Cupê,28,18,3916,29450,BMW 1 Series
4,BMW,1 Series,2011,gasolina premium,230.0,6.0,MANUAL,tracao_traseira,2.0,Luxo,compacto,Conversível,28,18,3916,34500,BMW 1 Series
5,BMW,1 Series,2012,gasolina premium,230.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Performance",compacto,Cupê,28,18,3916,31200,BMW 1 Series
6,BMW,1 Series,2012,gasolina premium,300.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Performance",compacto,Conversível,26,17,3916,44100,BMW 1 Series
7,BMW,1 Series,2012,gasolina premium,300.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Alta-Performance",compacto,Cupê,28,20,3916,39300,BMW 1 Series
8,BMW,1 Series,2012,gasolina premium,230.0,6.0,MANUAL,tracao_traseira,2.0,Luxo,compacto,Conversível,28,18,3916,36900,BMW 1 Series
9,BMW,1 Series,2013,gasolina premium,230.0,6.0,MANUAL,tracao_traseira,2.0,Luxo,compacto,Conversível,27,18,3916,37200,BMW 1 Series
10,BMW,1 Series,2013,gasolina premium,300.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Alta-Performance",compacto,Cupê,28,20,3916,39600,BMW 1 Series
11,BMW,1 Series,2013,gasolina premium,230.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Performance",compacto,Cupê,28,19,3916,31500,BMW 1 Series
12,BMW,1 Series,2013,gasolina premium,300.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Performance",compacto,Conversível,28,19,3916,44400,BMW 1 Series
13,BMW,1 Series,2013,gasolina premium,230.0,6.0,MANUAL,tracao_traseira,2.0,Luxo,compacto,Conversível,28,19,3916,37200,BMW 1 Series
14,BMW,1 Series,2013,gasolina premium,230.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Performance",compacto,Cupê,28,19,3916,31500,BMW 1 Series
15,BMW,1 Series,2013,gasolina premium,320.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Alta-Performance",compacto,Conversível,25,18,3916,48250,BMW 1 Series
16,BMW,1 Series,2013,gasolina premium,320.0,6.0,MANUAL,tracao_traseira,2.0,"Luxo,Alta-Performance",compacto,Cupê,28,20,3916,43550,BMW 1 Series
17,Audi,100,1992,gasolina comum,172.0,6.0,MANUAL,tracao_dianteira,4.0,Luxo,regular,Sedan,24,17,3105,2000,Audi 100
18,Audi,100,1992,gasolina comum,172.0,6.0,MANUAL,tracao_dianteira,4.0,Luxo,regular,Sedan,24,17,3105,2000,Audi 100
19,Audi,100,1992,gasolina comum,172.0,6.0,AUTOMATICO,quatro_por_quatro AWD,4.0,Luxo,regular,Wagon,20,16,3105,2000,Audi 100
20,Audi,100,1992,gasolina comum,172.0,6.0,MANUAL,tracao_dianteira,4.0,Luxo,regular,Sedan,24,17,3105,2000,Audi 100
21,Audi,100,1992,gasolina comum,172.0,6.0,MANUAL,quatro_por_quatro AWD,4.0,Luxo,regular,Sedan,21,16,3105,2000,Audi 100
22,Audi,100,1993,gasolina comum,172.0,6.0,MANUAL,tracao_dianteira,4.0,Luxo,regular,Sedan,24,17,3105,2000,Audi 100
23,Audi,100,1993,gasolina comum,172.0,6.0,AUTOMATICO,quatro_por_quatro AWD,4.0,Luxo,regular,Wagon,20,16,3105,2000,Audi 100
24,Audi,100,1993,gasolina comum,172.0,6.0,MANUAL,tracao_dianteira,4.0,Luxo,regular,Sedan,24,17,3105,2000,Audi 100
25,Audi,100,1993,gasolina comum,172.0,6.0,MANUAL,tracao_dianteira,4.0,Luxo,regular,Sedan,24,17,3105,2000,Audi 100
26,Audi,100,1993,gasolina comum,172.0,6.0,MANUAL,quatro_por_quatro AWD,4.0,Luxo,regular,Sedan,21,16,3105,2000,Audi 100
27,Audi,100,1994,gasolina comum,172.0,6.0,AUTOMATICO,tracao_dianteira,4.0,Luxo,regular,Wagon,21,16,3105,2000,Audi 100
28,Audi,100,1994,gasolina comum,172.0,6.0,MANUAL,quatro_por_quatro AWD,4.0,Luxo,regular,Sedan,22,16,3105,2000,Audi 100
29,Audi,100,1994,gasolina comum,172.0,6.0,MANUAL,tracao_dianteira,4.0,Luxo,regular,Sedan,22,17,3105,2000,Audi 100
30,Audi,100,1994,gasolina comum,172.0,6.0,AUTOMATICO,tracao_dianteira,4.0,Luxo,regular,Sedan,22,16,3105,2000,Audi 100
31,Audi,100,1994,gasolina comum,172.0,6.0,AUTOMATICO,quatro_por_quatro AWD,4.0,Luxo,regular,Wagon,21,16,3105,2000,Audi 100
32,FIAT,124 Spider,2017,gasolina aditivada,160.0,4.0,MANUAL,tracao_traseira,2.0,Performance,compacto,Conversível,35,26,819,27495,FIAT 124 Spider
33,FIAT,124 Spider,2017,gasolina aditivada,160.0,4.0,MANUAL,tracao_traseira,2.0,Performance,compacto,Conversível,35,26,819,24995,FIAT 124 Spider
34,FIAT,124 Spider,2017,gasolina aditivada,160.0,4.0,MANUAL,tracao_traseira,2.0,Performance,compacto,Conversível,35,26,819,28195,FIAT 124 Spider
